ses_var,threshold,decile,n_voters,tau_F,se_F,p_F,ci_lo_F,ci_hi_F,bw_F,post_F,post_lo_F,post_hi_F,n_eff_l_F,n_eff_r_F,tau_M,se_M,p_M,ci_lo_M,ci_hi_M,bw_M,post_M,post_lo_M,post_hi_M,n_eff_l_M,n_eff_r_M,gap_MF,se_gap,p_gap
nbi,18,1,313064,0.2790589305988177,0.011653315192489733,9.991395661984983e-127,0.24886229479570984,0.3024132126449496,172.11598847665775,0.8125708020530734,0.8015888348372588,0.823552769268888,14041,13814,0.2504400814625045,0.014491291006435394,6.415769159907552e-67,0.21259691430224165,0.2776320597214233,108.07888633149284,0.7872111177271368,0.7734748113887534,0.8009474240655202,9159,8908,-0.028618849136313185,0.01859562502334104,0.1238019039367797
nbi,18,2,312990,0.2724495097183383,0.011849451361271884,5.5297517537511224e-117,0.2427327035178511,0.2982107426776068,176.81841678369088,0.7748740039479093,0.7629809687725212,0.7867670391232974,14738,14221,0.2579555303247931,0.01469677183508095,5.757403919062809e-69,0.21955621471308626,0.28433538713522744,116.07694765765433,0.7317003910839442,0.7172204307072262,0.7461803514606623,9619,9669,-0.014493979393545187,0.01887868109629422,0.4426397542364131
nbi,18,3,312353,0.2138546924870175,0.017090903895668374,6.356147045191913e-36,0.16961833926916556,0.24214998750913655,88.49145385854325,0.7568752736383608,0.7404398143267907,0.7733107329499309,6966,7057,0.2547383961487762,0.012056725189078816,4.367772523791843e-99,0.22322811493131745,0.2776499002956826,173.8017801237706,0.7298678294980184,0.7175983871718612,0.7421372718241757,14944,14406,0.0408837036617587,0.020915630955243496,0.05061894276577883
nbi,18,4,310325,0.27915445373338704,0.012228563134427975,2.4139906666015237e-115,0.24796005127230486,0.30466320021793697,170.7653926349603,0.763307698538771,0.7511590047173728,0.7754563923601692,13880,13491,0.2534203403459091,0.014206791885407112,3.5847881747235975e-71,0.2163099993383483,0.28020034210399075,123.3285423781938,0.7417856240482055,0.7273219901794522,0.7562492579169587,10384,10048,-0.02573411338747794,0.01874488442236869,0.1697956853261675
nbi,18,5,312771,0.22510810803092052,0.012356117705239401,3.6910147686238184e-74,0.1934956513670985,0.2508152259584497,171.85075232705077,0.7459111272630042,0.7335197545893547,0.7583024999366538,14090,13797,0.24036686439987953,0.012145292856453358,3.5627420420838646e-87,0.2113933838902831,0.26875088976149325,175.54150151631697,0.7146179440635904,0.7022649738383933,0.7269709142887875,15180,14856,0.015258756368959014,0.017325754913271384,0.37848134119717525
nbi,18,6,316145,0.20442368544618927,0.01353745118444268,1.6045755419080415e-51,0.16905659206095325,0.23064170263005224,147.64711783979223,0.7327396247023454,0.7191253589049901,0.7463538904997008,12211,11643,0.2084474779166331,0.012714306782809002,2.0860549768055334e-60,0.1751516446147848,0.23301237986135673,163.81748232295857,0.7024053760922269,0.6894104294176685,0.7154003227667852,14138,13844,0.004023792470443821,0.018571919166810724,0.8284733034329306
nbi,18,7,307516,0.19157516764601823,0.010779973031908287,1.1772470136542916e-70,0.16371581544110927,0.21343410478270117,234.17282219526444,0.7294998386164152,0.7186607017928519,0.7403389754399785,19504,19125,0.21559583882445144,0.010589011061173199,3.759850870133395e-92,0.19117915838306831,0.24116804829494065,243.3329608593181,0.6898516423452282,0.6790671506923909,0.7006361339980656,20630,20879,0.024020671178433206,0.015110756891112976,0.11191586194883385
nbi,18,8,313051,0.16515873887096988,0.014129622677283973,1.4537772264480073e-31,0.12831274487416222,0.18936657021225412,134.92951500186282,0.7250262234584475,0.7107433023162922,0.7393091446006027,11164,10513,0.19693220572846876,0.010020414556777673,5.438788531716775e-86,0.17173447012960216,0.2185778463839936,270.195283218146,0.676021550682862,0.6656650786410306,0.6863780227246933,23080,23554,0.03177346685749888,0.017322094125483196,0.06661333179395301
nbi,18,9,311623,0.1330885852349828,0.015709972225683225,2.4204711048962172e-17,0.09202147940360061,0.16170700332963073,109.88619516626109,0.7320826497351319,0.7162428210613797,0.7479224784088842,8819,8579,0.16297672683204145,0.013596771853434404,4.185685931739962e-33,0.1272571653875312,0.18778050642506214,144.30426990168192,0.6899546792071923,0.676055611195694,0.7038537472186907,12514,12064,0.02988814159705866,0.020776800335135445,0.1502824897806656
nbi,18,10,311400,0.14478414075869395,0.010261501030259664,3.321560822587496e-45,0.11873391490897592,0.16690809631742518,261.0630474840568,0.7038454986339615,0.693388856074376,0.7143021411935471,21895,22223,0.1472811799424688,0.010327018393865503,3.789257716745319e-46,0.12133511686743609,0.16972545643095777,263.95671668598067,0.6366624006874754,0.6258481949588737,0.6474766064160771,22486,22823,0.002497039183774863,0.014558355411970699,0.8638154423629707
