ses_var,threshold,coef,coef_pp,se,z,p,bw_days,p10,p90
nbi,18,-0.2625148150716511,-26.25148150716511,0.1947381732902006,-1.3480398354176257,0.17764557055467034,47.43233683096086,0.02603624244948969,0.13441722972972972
pca_index,18,-0.011004954047828407,-1.1004954047828408,0.006793607360058268,-1.619898452261159,0.10525409239095199,47.43233683096086,1.5988263874458184,5.108615106677382
