version,quantity,gap_pp,se_pp,z,p,ci_lo_pp,ci_hi_pp,mde80_pp,bandwidth
rdrobust common h (CANONICAL),gap (F-M),-0.5865644957752565,1.5318418579276005,-0.38291452393709124,0.701783142082645,-3.5889193673242756,2.4157903757737627,4.291585505656672,common 47.4d
tau_F at common h,level (tau_F),17.934432744150197,1.0852298322478584,16.52593046304509,0.0,15.807421357995949,20.061444130304444,,common 47.4d
tau_M at common h,level (tau_M),18.520997239925453,1.0811177960325915,17.131340643815577,0.0,16.402045296656254,20.639949183194652,,common 47.4d
"rdrobust differenced (own h, defective)",gap (F-M),-1.373866445891224,0.9821285825704901,-1.3988661670913318,0.16185311987376383,-3.298803095916757,0.5510702041343092,2.7515169192157267,"F=56.4d, M=65.1d"
"OLS linear +/-365 (robustness, not canonical)",gap (F-M),-0.4347251058691458,0.3483836793624768,-1.247834303445756,0.21209174350611493,-1.1175445702211504,0.24809435848285877,0.9760265663337229,+/-365d linear
