ses_var,decile,sex,tau_pp,se_pp
nbi,D1 (least deprived),Women,27.90589305988177,1.1653315192489733
nbi,D1 (least deprived),Men,25.04400814625045,1.4491291006435394
nbi,D10 (most deprived),Women,14.478414075869395,1.0261501030259663
nbi,D10 (most deprived),Men,14.728117994246881,1.0327018393865504
pca_index,D1 (least deprived),Women,26.880928570381734,1.2862880478367442
pca_index,D1 (least deprived),Men,23.237464017349353,1.4678853801025884
pca_index,D10 (most deprived),Women,8.920947204785524,1.419171180707844
pca_index,D10 (most deprived),Men,10.627177100840656,1.1881314796460996
