version,quantity,gap_pp,se_pp,z,p,ci_lo_pp,ci_hi_pp,mde80_pp,bandwidth
"rdrobust common h (CANONICAL, T70)",gap (F-M),-1.8743297354682724,1.1298153197749066,-1.6589700127642946,0.09712183508655325,-4.088727071408694,0.3400676004721488,3.165273899078955,common 141.9d
tau_F at common h (T70),level (tau_F),-4.5601554925155945,0.7824166067494491,-5.828295888888103,5.599622987517705e-09,-6.093663862650553,-3.026647122380636,,common 141.9d
tau_M at common h (T70),level (tau_M),-2.685825757047322,0.8150502501568551,-3.2952885500377915,0.0009832066579129606,-4.283294892945119,-1.0883566211495246,,common 141.9d
