ses_var,sex,ses_level,ses_val,tau,tau_se,tau_p,tau_lo,tau_hi,baseline,baseline_se,baseline_lo,baseline_hi
nbi,Men,Low (p10),0.021087533156498674,-0.03844132510526082,0.006928402216143169,2.883484695459515e-08,-0.05202074391930893,-0.024861906291212713,0.768506985596014,0.005091733756814935,0.75852737081379,0.7784866003782381
nbi,Men,High (p90),0.11577028258887875,-0.022131655795227217,0.007948732399234283,0.005364338883455222,-0.03771088502047307,-0.0065524265699813695,0.7029082727061281,0.005866768939835146,0.6914096168784329,0.7144069285338233
nbi,Women,Low (p10),0.021087533156498674,-0.05655725695805196,0.0066685642437954344,0.0,-0.06962740270448259,-0.04348711121162133,0.7651863756833848,0.004955678765083058,0.755473423784872,0.7748993275818975
nbi,Women,High (p90),0.11577028258887875,-0.03819917216701835,0.008157942912145319,2.834642454097036e-06,-0.05418844646275698,-0.022209897871279714,0.7028820552364764,0.0063169810523538445,0.690500999882841,0.7152631105901118
pca_index,Men,Low (p10),1.103789090732333,-0.036901430353941764,0.008223855698045054,7.219229450017295e-06,-0.053019891336164575,-0.020782969371718953,0.7827086286132313,0.00620006100615889,0.7705567323392087,0.7948605248872539
pca_index,Men,High (p90),4.842286695848428,-0.02440021885093739,0.008847693084280777,0.005819076603898132,-0.04174137864239182,-0.00705905905948296,0.6950111266735797,0.006487002149975601,0.6822968360919935,0.7077254172551658
pca_index,Women,Low (p10),1.103789090732333,-0.05769132834079052,0.007702990419833185,6.905587213168474e-14,-0.07278891213692064,-0.0425937445446604,0.7837162268337188,0.005650146040689993,0.7726421440865748,0.7947903095808627
pca_index,Women,High (p90),4.842286695848428,-0.03909868078186934,0.008663495804693467,6.390574054826459e-06,-0.056078820539282384,-0.02211854102445629,0.6882344209402793,0.0064991828358628555,0.6754962566530472,0.7009725852275114
