spec,est,lo,hi,p,kind,se,mde80
"OLS linear, ±90d",-0.7998336521298428,-2.170671047575944,0.5710037433162585,0.2527943097226346,lin,0.6994196864121442,1.959483854709471
"OLS linear, ±180d",-0.4936573763584394,-1.4600827980080417,0.4727680452911628,0.31673846643409165,lin,0.49308325523970986,1.381414759178595
"OLS linear, ±365d",-0.4347251058691458,-1.1175571174196004,0.24810690568130866,0.21209174350611482,lin,0.3483900811119726,0.9760445013804805
"OLS linear, ±730d",-1.109664196832382,-1.5923518552508604,-0.6269765384139034,6.609252814928024e-06,lin,0.24627373881655845,0.6899568662778841
"OLS quadratic, ±365d",-0.19048372194426136,-1.212773973281708,0.8318065293931852,0.7149564997305418,quad,0.5215862431152519,1.4612683086827667
"OLS quadratic, ±730d",-0.06893104724864313,-0.7929826195589951,0.6551205250617087,0.8519777005599724,quad,0.36942085570019567,1.0349640085923122
"rdrobust τF−τM (common h=47d, robust)",-0.5865644957752565,-3.5889745373133533,2.4158455457628403,0.701783142082645,rd,1.5318700063984463,4.291664365996505
