ses_var,decile,turnout_F_pp,turnout_M_pp,F_minus_M_pp,n_F,n_M
nbi,D1 (least deprived),52.58005873304433,50.81185567010309,1.7682030629412426,7151,7760
nbi,D10 (most deprived),55.267512410369555,48.62903225806451,6.638480152305043,7252,7440
pca_index,D1 (least deprived),54.81287115039359,54.44005605809657,0.3728150922970186,7241,7849
pca_index,D10 (most deprived),61.17664191058686,53.737599552885285,7.439042357701576,6867,7157
